State,CountryOfBirth,Count
New South Wales,New Zealand,1181527
New South Wales,United Kingdom,275351
New South Wales,Chinese Asia,315494
New South Wales,Maritime South-East Asia,201712
New South Wales,Southern Asia,370038
Victoria,New Zealand,99344
Victoria,United Kingdom,212739
Victoria,Chinese Asia,208672
Victoria,Maritime South-East Asia,175736
Victoria,Southern Asia,389467
Queensland,New Zealand,208572
Queensland,United Kingdom,227177
Queensland,Chinese Asia,85952
Queensland,Maritime South-East Asia,85449
Queensland,Southern Asia,106070
South Australia,New Zealand,13461
South Australia,United Kingdom,112206
South Australia,Chinese Asia,31851
South Australia,Maritime South-East Asia,30111
South Australia,Southern Asia,67318
Western Australia,New Zealand,75591
Western Australia,United Kingdom,236098
Western Australia,Chinese Asia,39416
Western Australia,Maritime South-East Asia,101352
Western Australia,Southern Asia,89760
Tasmania,New Zealand,5483
Tasmania,United Kingdom,22706
Tasmania,Chinese Asia,8422
Tasmania,Maritime South-East Asia,5194
Tasmania,Southern Asia,16591
Northern Territory,New Zealand,4041
Northern Territory,United Kingdom,5998
Northern Territory,Chinese Asia,2566
Northern Territory,Maritime South-East Asia,9970
Northern Territory,Southern Asia,10750
Australian Capital Territory,New Zealand,5122
Australian Capital Territory,United Kingdom,16011
Australian Capital Territory,Chinese Asia,14955
Australian Capital Territory,Maritime South-East Asia,10484
Australian Capital Territory,Southern Asia,32919
