State,Language,Count
New South Wales,Mandarin,270685
Victoria,Mandarin,221798
Queensland,Mandarin,83607
South Australia,Mandarin,32133
Western Australia,Mandarin,51751
Tasmania,Mandarin,8129
Northern Territory,Mandarin,2526
Australian Capital Territory,Mandarin,14397
New South Wales,Arabic,227243
Victoria,Arabic,91441
Queensland,Arabic,16171
South Australia,Arabic,11033
Western Australia,Arabic,16000
Tasmania,Arabic,972
Northern Territory,Arabic,427
Australian Capital Territory,Arabic,3867
New South Wales,Vietnamese,117907
Victoria,Vietnamese,118801
Queensland,Vietnamese,31370
South Australia,Vietnamese,21855
Western Australia,Vietnamese,22763
Tasmania,Vietnamese,1467
Northern Territory,Vietnamese,1565
Australian Capital Territory,Vietnamese,5028
New South Wales,Cantonese,148943
Victoria,Cantonese,82432
Queensland,Cantonese,27437
South Australia,Cantonese,10166
Western Australia,Cantonese,19683
Tasmania,Cantonese,1536
Northern Territory,Cantonese,803
Australian Capital Territory,Cantonese,4230
New South Wales,Punjabi,53460
Victoria,Punjabi,104949
Queensland,Punjabi,30873
South Australia,Punjabi,20004
Western Australia,Punjabi,20613
Tasmania,Punjabi,2556
Northern Territory,Punjabi,1563
Australian Capital Territory,Punjabi,5019
New South Wales,Greek,78691
Victoria,Greek,107158
Queensland,Greek,10475
South Australia,Greek,21882
Western Australia,Greek,4520
Tasmania,Greek,1126
Northern Territory,Greek,3258
Australian Capital Territory,Greek,2527
New South Wales,Italian,64039
Victoria,Italian,92320
Queensland,Italian,17989
South Australia,Italian,23828
Western Australia,Italian,25432
Tasmania,Italian,954
Northern Territory,Italian,668
Australian Capital Territory,Italian,2816
