Category,Religion,Count
Christianity,Christianity,688440
Christianity,Anglican,2496273
Christianity,Baptist,347334
Christianity,Brethren,18258
Christianity,Catholic,5075907
Christianity,Churches of Christ,35928
Christianity,Jehovahs Witnesses,84405
Christianity,Latter-day Saints,57868
Christianity,Lutheran,145868
Christianity,Eastern Orthodox,535470
Christianity,Presbyterian and Reformed,414882
Christianity,Salvation Army,35356
Christianity,Seventh-day Adventist,63662
Christianity,Uniting Church,673260
Christianity,Pentecostal,255838
Christianity,Other Protestant,112474
Non-Christian,Buddhism,615823
Non-Christian,Hinduism,684002
Non-Christian,Islam,813392
Non-Christian,Judaism,99956
Other Religions,Australian Aboriginal Traditional Religions,7887
Other Religions,Bahai,14937
Other Religions,Chinese Religions,6952
Other Religions,Druse,4268
Other Religions,Nature Religions,33148
Other Religions,Sikhism,210400
Other Religions,Spiritualism,8879
Other Religions,Miscellaneous Religions,37086
No Religion / Secular,No Religion,9767448
No Religion / Secular,Secular Beliefs,73548
No Religion / Secular,Other Spiritual Beliefs,45784
